heap,bptree,hash,sequential,isam,brin,rtree
4.9081,1.1239,0.9859,0.8729,1.3392,1.59,6.5291
0.0949,0.253,0.2482,0.654,0.288,0.598,2.0013
0.3572,1.2541,1.791,1.7626,0.8292,1.1778,5.7249
0.1028,0.2608,0.1991,0.7489,0.2522,0.2899,2.6329
0.1459,0.2472,0.1819,0.751,0.2379,0.288,2.0108
0.0949,0.2508,0.18,0.8633,0.2339,0.2823,1.4079
0.0939,0.267,0.1769,0.6163,0.2823,0.2818,1.7002
0.097,0.2799,0.181,0.618,0.2508,0.2792,3.0148
0.093,0.2789,0.1709,0.562,0.4971,0.282,2.3701
0.0992,0.6251,0.3469,0.6502,0.2909,0.2861,1.4372
0.0989,0.253,0.1993,0.746,0.7579,0.3021,1.4391
0.1197,0.2711,0.1819,0.5898,0.3719,0.3269,2.5218
0.0932,0.289,0.1919,0.8512,0.2511,0.2854,1.936
0.097,0.237,0.1893,0.9949,0.248,0.3009,2.0998
0.0842,0.236,0.1881,0.865,0.2489,0.3719,1.9879
0.0899,0.236,0.2031,0.9229,0.272,0.2942,2.0669
0.087,0.2341,0.181,0.849,0.3109,0.298,2.0542
0.0877,0.2308,0.186,0.9429,0.263,0.284,1.7939
0.0901,0.232,0.2801,0.7458,0.3462,0.3033,2.028
0.0949,0.2522,0.1948,1.0319,0.2639,0.334,1.483
0.0899,0.273,0.196,1.0293,0.3409,0.3591,2.0788
0.0899,0.5441,0.1781,0.9573,0.34,0.3581,2.115
0.0908,0.2968,0.1872,0.7761,0.277,0.392,1.986
0.0989,0.289,0.2091,0.6058,0.2592,0.2892,2.089
0.1264,0.2551,0.2241,0.7329,0.2477,0.3829,2.1088
0.1111,0.2558,0.1979,0.8128,0.2711,0.3028,1.4031
0.1149,0.2277,0.2162,0.7021,0.2697,0.3879,1.889
0.1059,0.242,0.2499,0.8681,0.2742,0.3138,1.9932
0.097,0.2339,0.2592,0.7908,0.2499,0.2911,2.0981
0.102,0.231,0.222,0.9768,0.2491,0.34,2.0406
0.0882,0.2351,0.191,0.9181,0.258,0.293,1.992
0.1051,0.2358,0.1831,1.1389,0.2599,0.2902,2.0642
0.0939,0.2601,0.2499,0.7312,0.4082,0.2859,1.4999
0.1159,0.309,0.2069,0.8593,0.2918,0.4721,1.4029
0.0901,0.2501,0.1879,0.9499,0.2701,0.392,2.1861
0.088,0.241,0.1819,0.8028,0.2699,0.3631,2.0401
0.128,0.2329,0.2928,0.958,0.2718,0.3669,2.1851
0.1321,0.2792,0.2003,0.8471,0.298,0.3741,1.9829
0.0997,0.2398,0.1838,1.0812,0.278,0.3409,2.984
0.093,0.232,0.181,0.7701,0.4029,0.2871,1.862
0.0861,0.2389,0.201,0.71,0.319,0.3011,1.4713
0.0889,0.2348,0.2081,0.952,0.2728,0.4089,1.3533
0.083,0.4778,0.1819,0.8457,0.2708,0.2801,2.0568
0.1149,0.448,0.1848,0.726,0.4849,0.3331,1.9472
0.0911,0.2718,0.2301,0.9642,0.3378,0.3178,2.0649
0.102,0.2558,0.2649,0.6528,0.6309,0.309,6.2749
0.0978,0.2379,0.1948,1.0791,0.3083,0.3009,1.7738
0.0939,0.3188,0.1891,0.5112,0.4001,0.33,1.986
0.104,0.268,0.1822,0.8218,0.2789,0.3169,1.718
0.1011,0.268,0.1931,0.7412,0.2651,0.3037,4.688
0.0949,0.2489,0.1872,0.6199,0.258,0.3042,2.0139
0.098,0.6959,0.1822,0.6621,0.2551,0.391,1.3192
0.1078,0.2921,0.195,0.7169,0.2599,0.304,1.9789
0.1149,0.3097,0.2282,0.994,0.2961,0.3262,1.9341
0.108,0.344,0.253,0.8011,0.299,0.303,5.816
0.0849,0.253,0.1857,0.9663,0.2728,0.2942,4.4689
0.0877,0.2329,0.1872,0.674,0.2682,0.3099,1.8589
0.0851,0.2511,0.1791,1.0443,0.294,0.313,1.857
0.092,0.2389,0.2172,0.6847,0.2651,0.3028,1.9689
0.0839,0.2561,0.2012,1.0769,0.2661,0.277,1.9321
0.0923,0.282,0.1969,0.639,0.2832,0.3171,1.7858
0.0908,0.2272,0.195,0.6511,0.2661,0.3538,1.2982
0.0908,0.247,0.1869,0.6421,0.416,0.2823,1.3812
0.0901,0.2518,0.2561,1.0281,0.309,0.2689,2.0339
0.092,0.2558,0.1929,0.9286,0.2759,0.3262,1.7872
0.0987,0.298,0.1788,0.5193,0.4261,0.3159,1.4241
0.0911,0.2403,0.2351,0.586,0.3979,0.278,2.0196
0.0849,0.2663,0.2,1.0579,0.2711,0.278,1.915
0.0911,0.246,0.1884,0.802,0.3078,0.3541,4.5891
0.0892,0.2592,0.191,1.3959,0.406,0.284,1.3978
0.0889,0.2499,0.1779,1.159,0.3018,0.2723,1.8811
0.0889,0.2658,0.1853,0.7961,0.298,0.3107,1.9147
0.0892,0.344,0.236,1.0459,0.2961,0.2902,1.632
0.087,0.3111,0.1841,0.7279,0.4599,0.2842,2.0552
0.0861,0.241,0.2487,0.982,0.2942,0.277,1.7929
0.0851,0.2649,0.1853,0.824,0.2871,0.3321,2.0671
0.0923,0.2801,0.1788,0.8969,0.2871,0.2942,1.7071
0.0889,0.252,0.1829,1.3869,0.3049,0.2849,1.9162
0.0849,0.2279,0.195,0.6268,0.381,0.3128,1.3618
0.0832,0.2897,0.412,1.101,0.283,0.3452,1.9469
0.0873,0.448,0.2332,1.2491,0.2868,0.3037,1.93
0.087,0.2911,0.3099,0.7041,0.2937,0.3331,1.8611
0.087,0.2508,0.1979,1.2701,0.33,0.3641,1.3707
0.0861,0.2592,0.1853,0.5832,0.4139,0.2789,1.7631
0.0892,0.2429,0.1919,0.993,0.2868,0.2682,1.3728
0.0918,0.2322,0.2031,1.0099,0.2849,0.299,2.0559
0.088,0.2339,0.1919,1.1768,0.2859,0.2801,1.364
0.0861,0.4022,0.2038,0.89,0.2799,0.2823,1.7712
0.0901,0.2339,0.181,0.8781,0.2828,0.268,2.0118
0.087,0.2379,0.2172,0.7918,0.3462,0.3483,1.3099
0.0892,0.2348,0.2708,1.3218,0.3049,0.309,1.2822
0.087,0.2389,0.2091,1.2112,0.3409,0.2851,1.6179
0.0882,0.257,0.1938,1.188,0.2921,0.268,1.9481
0.0861,0.2451,0.206,1.281,0.2818,0.2699,1.7159
0.128,0.236,0.18,1.4899,0.3393,0.3347,1.9469
0.118,0.2797,0.1841,0.6242,0.3922,0.2842,1.7953
0.1569,0.2902,0.185,0.8411,0.283,0.2768,1.2989
0.0901,0.2429,0.216,0.8938,0.2828,0.2861,1.2949
0.1218,0.2382,0.195,1.4069,0.3061,0.3147,1.9498
0.1009,0.2999,0.2301,1.2431,0.2999,0.2692,1.354
0.1111,0.246,0.18,1.4212,0.2899,0.2749,1.291
0.0901,0.242,0.1819,1.3738,0.2849,0.38,1.2872
0.0839,0.2861,0.18,0.6471,0.37,0.2732,1.9193
0.0799,0.2539,0.195,1.169,0.2818,0.2859,1.9493
0.1411,0.2441,0.19,1.224,0.282,0.2759,1.3192
0.088,0.248,0.2189,1.5171,0.298,0.3059,1.7741
0.0849,0.278,0.211,1.4019,0.3006,0.2811,1.9948
0.0839,0.2861,0.1853,0.8261,0.283,0.32,1.9529
0.0899,0.253,0.2329,0.7949,0.283,0.3209,1.9951
0.087,0.2611,0.1931,1.508,0.3021,0.277,1.6429
0.0889,0.2611,0.2089,1.7149,0.3009,0.2861,1.9038
0.1061,0.252,0.211,0.8631,0.289,0.2842,1.888
0.1299,0.2549,0.1862,1.2069,0.2801,0.3159,1.9321
0.102,0.2801,0.1891,1.3452,0.2759,0.278,1.292
0.118,0.303,0.1862,1.112,0.294,0.2682,1.282
0.0899,0.2689,0.185,0.701,0.38,0.2649,1.3781
0.0892,0.2561,0.2,1.992,0.3378,0.284,1.781
0.088,0.2561,0.2401,1.1539,0.304,0.2911,1.895
0.0951,0.2608,0.211,1.5647,0.2911,0.267,5.4049
0.0901,0.2561,0.2148,0.6771,0.2449,0.2549,1.3211
