heap,bptree,hash,sequential,isam,brin,rtree
130.3728,1.163,2.4242,1.3051,1.0371,0.2339,6.1738
113.1468,1.0262,0.6361,0.2282,0.2198,0.5178,4.6692
109.1392,13.1109,0.6583,0.3152,0.1118,0.2732,4.4353
110.321,0.071,1.2608,0.2658,0.2251,0.078,3.391
107.9502,0.0677,0.3641,0.2627,0.1259,0.0761,2.2399
106.2131,0.0672,0.526,0.257,0.1261,0.0739,2.1341
106.2262,0.067,0.6142,0.2558,0.1252,0.073,3.4273
106.0171,0.0639,0.6249,0.2601,0.1249,0.0739,2.4209
106.8323,6.9952,0.4108,0.2329,0.1972,0.3488,1.6479
106.137,0.0761,0.5751,0.2692,0.2203,0.0761,1.6041
105.871,0.0639,0.361,0.262,0.1311,0.0761,3.7889
106.1149,0.062,0.3629,0.257,0.129,0.0782,1.8091
106.0312,4.586,0.375,0.2053,0.1538,1.0898,2.6472
106.3778,11.2669,0.3769,0.2477,0.6659,0.8121,3.7589
105.0262,0.0808,0.349,0.2682,0.2439,0.0792,1.8837
105.3159,0.0851,0.3469,0.2611,0.2141,0.0768,3.6879
108.202,0.0823,0.3679,0.3331,0.2229,0.0739,4.8251
108.1572,0.087,0.376,0.2739,0.217,0.0722,3.675
107.9381,0.0851,0.3681,0.2539,0.103,0.0732,3.7069
109.736,0.087,0.3631,0.253,0.102,0.077,2.0912
108.1481,4.9601,0.366,0.2067,0.0999,0.1678,3.6879
106.2999,0.0739,0.3808,0.2589,0.2091,0.0741,3.011
105.998,11.5647,0.3707,0.2079,1.0209,0.1979,3.0749
105.6666,0.0691,0.365,0.257,0.1051,0.0761,2.8501
105.6898,0.0668,0.3672,0.2589,0.134,0.0749,2.5139
105.4327,0.066,0.3603,0.2859,0.217,0.0801,3.3417
105.051,0.0689,0.4051,0.272,0.1318,0.0777,2.6138
105.7153,0.067,0.4051,0.272,0.246,0.0761,3.6132
105.3913,0.0682,0.4058,0.2797,0.107,0.0851,1.9429
106.3859,0.0668,0.406,0.2623,0.1972,0.078,2.238
105.001,0.067,0.3829,0.2658,0.1941,0.0789,3.6101
106.1082,0.0679,0.406,0.2627,0.2122,0.0739,1.6038
106.8971,5.846,0.4191,0.2029,0.1478,0.236,2.393
116.3049,7.5707,0.4029,0.21,0.1121,0.1929,3.0792
110.4102,0.0699,0.407,0.2649,0.1152,0.0718,2.286
108.1979,0.066,0.4828,0.263,0.3469,0.0713,2.4772
107.2719,0.082,0.3903,0.2599,0.1092,0.071,2.969
106.8149,0.0939,0.3967,0.2589,0.104,0.072,2.5499
106.822,0.097,0.4559,0.2582,0.2229,0.077,1.6789
106.5853,0.118,0.4148,0.2651,0.221,0.0792,1.6038
105.8302,0.1028,0.4113,0.262,0.2239,0.1297,2.378
105.835,0.0713,0.3951,0.2577,0.1509,0.077,3.1121
105.793,0.9379,0.3958,0.1771,0.104,0.1869,4.117
105.5751,0.088,0.3839,0.257,0.2291,0.0882,3.1559
105.391,0.0851,0.4091,0.258,0.109,0.0818,3.6108
105.9921,0.0861,0.3839,0.2601,0.1218,0.083,2.929
107.1651,0.0849,0.4072,0.2861,0.227,0.0801,2.7819
106.3678,0.087,0.38,0.2749,0.1299,0.0789,2.8069
104.8942,0.0851,0.3829,0.258,0.2401,0.0813,3.5729
106.1082,0.0851,0.4001,0.2611,0.2229,0.0823,1.6599
106.0302,0.083,0.3891,0.2582,0.1302,0.0832,3.545
106.282,0.0949,0.3688,0.2587,0.1338,0.0808,2.558
105.0491,8.0409,0.3653,0.2072,0.1049,0.195,2.5411
105.4752,0.0861,0.34,0.257,0.1361,0.0739,2.538
105.6528,0.0861,0.3548,0.2577,0.1087,0.072,2.1729
105.7363,0.0839,0.3371,0.3152,0.1483,0.073,4.0729
106.355,0.0839,0.416,0.257,0.262,0.072,2.3217
104.9387,0.083,0.3662,0.2549,0.1779,0.0741,2.1827
106.3921,0.0842,0.3581,0.2501,0.329,0.072,1.6928
106.1797,0.0811,0.4001,0.2522,0.114,0.0718,3.1278
106.1051,7.2129,0.416,0.1972,0.2351,0.2298,2.892
105.8609,11.358,0.4308,0.1931,0.108,0.2031,2.4562
106.627,0.0749,0.4201,0.253,0.1481,0.072,1.6758
104.9442,0.073,0.3877,0.325,0.14,0.0749,2.542
104.4517,0.071,0.4101,0.2732,0.1049,0.0761,1.986
104.2368,0.0713,0.3831,0.2539,0.2272,0.0768,2.933
105.5677,0.0708,0.4051,0.2539,0.1049,0.0732,4.3099
104.9299,0.0708,0.4077,0.2522,0.1349,0.0708,2.095
103.9832,0.0732,0.4072,0.2513,0.1049,0.0739,2.2399
104.5079,0.0732,0.381,0.2508,0.1333,0.0782,1.7772
108.062,0.0732,0.407,0.252,0.2198,0.0978,2.0239
108.501,0.073,0.4122,0.2522,0.104,0.0801,1.7822
106.22,0.0739,0.4013,0.2508,0.1359,0.0789,3.7141
106.0328,0.0739,0.3889,0.252,0.1271,0.0792,4.6449
104.8617,0.078,0.3841,0.2501,0.1249,0.0899,1.6961
104.4872,0.073,0.407,0.252,0.1042,0.0823,3.6161
104.9592,0.0722,0.3521,0.2518,0.1349,0.0832,2.1958
105.7341,10.0622,0.356,0.242,0.241,0.3488,1.642
105.6571,0.0782,0.3588,0.257,0.107,0.1209,4.2927
104.1727,2.3468,0.3359,0.2551,0.2201,0.3879,3.0689
104.2647,0.0758,0.4029,0.2789,0.104,0.0918,2.1999
105.7782,0.0741,0.3903,0.267,0.1259,0.0808,2.8939
104.7711,0.0761,0.4318,0.2561,0.1349,0.0932,2.6231
103.9262,0.0761,0.38,0.258,0.1111,0.0839,1.9011
104.1489,0.0739,0.407,0.2589,0.139,0.088,3.0291
105.515,0.0739,0.4001,0.2582,0.1087,0.077,3.226
104.4049,0.0739,0.4079,0.257,0.1042,0.0739,3.454
105.5129,0.0741,0.401,0.2561,0.1009,0.0901,2.6331
107.924,0.0739,0.3779,0.2592,0.104,0.0954,2.5511
107.2059,5.372,0.407,0.2141,0.1042,0.2182,3.0682
105.154,4.9663,0.385,0.2167,0.1068,0.231,1.75
103.8802,0.0722,0.4091,0.257,0.1032,0.0839,1.9889
105.104,10.3371,0.4151,0.1709,0.2599,0.1819,3.588
106.1082,0.0739,0.3841,0.257,0.1249,0.0751,3.247
106.5011,0.0722,0.4051,0.2561,0.2401,0.073,4.2078
104.2862,7.7791,0.401,0.2089,0.1018,0.1898,3.1428
105.0541,0.0761,0.4001,0.3259,0.107,0.077,1.667
105.2098,0.0751,0.381,0.2854,0.1359,0.0789,3.6511
104.29,0.0751,0.3979,0.2587,0.1342,0.0739,2.543
103.971,0.0749,0.402,0.257,0.1569,0.073,2.7289
