heap,bptree,hash,sequential,isam,brin,rtree_point_to_point,rtree_knn,rtree_radio
128.5312,1.888,211.956,1.9648,1.0121,0.2339,9.1083,11.5173,5.749
107.1668,1.097,187.767,0.2241,0.221,0.083,3.576,7.6599,5.3968
107.816,13.041,189.6601,0.3178,0.0961,0.083,4.5071,8.0302,7.822
108.1159,0.0782,188.9338,0.298,0.262,0.0801,4.3609,13.109,9.0373
106.998,0.073,193.4342,0.2918,0.1171,0.0787,2.6221,6.609,5.1541
106.7121,0.073,188.7031,0.2871,0.1051,0.0792,2.3131,8.7659,4.4217
108.0501,0.0739,188.184,0.2809,0.109,0.0911,3.6302,8.4879,6.8061
109.7212,0.0722,188.8411,0.288,0.1101,0.0787,2.3012,6.263,3.9382
108.4859,7.045,194.7932,0.3581,0.1922,0.0799,1.6289,3.3863,3.1421
107.9671,0.0772,199.331,0.3631,0.1841,0.1171,1.642,6.144,6.0601
108.408,0.0708,185.0412,0.3374,0.1109,0.0842,3.736,11.1742,7.3674
108.0599,0.073,201.5748,0.387,0.1092,0.0801,1.7099,7.1371,4.5421
108.618,4.5168,185.328,0.2689,0.1082,0.0689,2.7409,13.6933,5.1839
109.7457,10.072,195.0727,0.3021,0.711,0.0782,3.722,11.399,7.2582
109.5617,0.0739,185.281,0.3309,0.2558,0.0782,1.7402,7.076,5.1153
109.9851,0.0691,189.791,0.3319,0.176,0.0877,3.71,11.1611,7.41
109.6828,0.0682,187.1672,0.33,0.2067,0.0861,4.7638,12.6331,10.1259
109.39,0.0751,188.3759,0.5159,0.2382,0.0901,3.7642,11.3409,7.844
109.278,0.072,186.5118,0.324,0.0889,0.0777,3.787,11.2731,8.2829
109.5779,0.0691,191.5002,0.3231,0.092,0.0772,2.1808,10.2601,4.4432
108.2418,4.5278,187.269,0.2592,0.0918,0.0782,3.7649,8.8,8.3079
107.8031,0.073,191.8273,0.3452,0.201,0.0856,4.7057,12.835,7.2999
107.667,10.644,197.2601,0.2618,0.988,0.072,3.1407,10.8509,6.1572
106.555,0.0789,184.2036,0.33,0.097,0.0801,3.268,8.0662,5.7631
107.8372,0.071,198.5779,0.3238,0.1252,0.0799,3.5369,12.6619,6.3941
108.3419,0.0701,185.5831,0.3269,0.2089,0.0789,3.3972,8.2951,6.6879
108.1092,0.0739,195.0059,0.3231,0.1111,0.0768,2.5852,12.6059,5.1661
106.9102,0.0713,185.2119,0.3128,0.2,0.0799,3.7701,11.6699,7.3149
107.6217,0.073,190.4511,0.2849,0.0908,0.0839,3.401,9.249,4.8862
107.6038,0.073,187.4492,0.375,0.2427,0.0839,2.9032,8.337,5.8529
107.043,0.0677,192.415,0.2961,0.149,0.082,3.6778,7.8809,7.715
106.9021,0.0679,185.698,0.2861,0.392,0.0792,1.6749,5.049,3.3782
108.0818,5.1548,193.5849,0.2122,0.118,0.0813,2.4908,11.8062,4.8151
108.285,6.9342,187.7582,0.2131,0.088,0.0801,3.9287,12.1341,6.2408
107.851,0.0751,192.9343,0.2842,0.0961,0.0849,2.4779,7.3149,4.6358
108.5799,0.0689,195.081,0.2871,0.2942,0.0808,3.8991,8.682,6.0937
108.6848,0.072,184.7091,0.282,0.0908,0.0842,3.696,10.0188,6.2819
107.6751,0.071,194.7861,0.2818,0.0889,0.0801,2.6081,11.3091,5.7092
107.9187,0.0691,185.05,0.2871,0.2451,0.0801,1.7719,8.6479,3.6271
108.315,0.0708,191.2792,0.283,0.2301,0.0799,1.6451,4.451,4.4658
107.7902,0.0689,187.7131,0.289,0.205,0.0801,2.4829,11.755,5.101
106.966,0.0782,191.2131,0.2811,0.1397,0.0801,3.2279,8.9571,6.465
107.9578,0.7229,184.778,0.1791,0.1259,0.0787,4.2162,11.5538,9.3079
107.605,0.0682,191.2792,0.2801,0.339,0.0792,3.3252,9.033,6.314
