heap,bptree,hash,sequential,isam,brin,rtree
25.347,6.3641,2.264,0.257,0.159,0.2611,2.67
21.9178,6.9571,0.8502,0.2289,0.0999,0.1941,2.8002
23.9177,10.7403,0.4172,0.2081,0.0951,0.1879,2.9209
22.2197,6.211,0.3929,0.221,0.0932,0.186,2.809
21.982,6.3541,0.478,0.2618,0.0949,0.1903,2.5842
21.9357,4.2541,0.4354,0.2198,0.0918,0.1919,2.4881
23.423,11.0731,0.3622,0.236,0.0939,0.2091,2.836
21.7891,5.528,0.4079,0.2539,0.0911,0.186,1.2679
21.9021,4.3242,0.365,0.2401,0.0949,0.1888,2.845
22.11,11.215,0.35,0.236,0.0932,0.185,3.4289
22.4969,8.5649,0.4911,0.242,0.0939,0.1853,1.2763
21.786,2.95,0.3929,0.2179,0.0958,0.175,3.196
21.811,5.4133,0.55,0.2391,0.0942,0.1998,2.764
21.9719,5.0149,0.5031,0.246,0.0911,0.201,3.2289
22.145,7.2153,0.4759,0.2439,0.097,0.1841,1.7669
22.0323,4.7929,0.576,0.2398,0.0999,0.1748,2.7359
21.9011,10.9529,0.4711,0.246,0.092,0.3099,4.0421
21.8508,0.1621,0.499,0.2031,0.108,0.205,1.9531
21.385,3.623,0.365,0.2608,0.0923,0.2038,3.5472
21.95,2.1861,0.3831,0.257,0.0951,0.3741,2.2681
22.0118,0.1941,0.3698,0.2301,0.1068,0.1831,2.6462
22.0401,8.996,0.349,0.252,0.0911,0.3169,3.2232
21.9243,6.3369,0.3521,0.2491,0.0901,0.2151,2.8379
21.8539,0.6609,0.3619,0.2577,0.0949,0.2089,2.2259
21.8229,5.8854,0.4711,0.2422,0.1111,0.2141,2.8081
21.9133,0.1779,0.3722,0.2151,0.0901,0.2129,3.0909
21.5802,9.7239,0.381,0.2291,0.0942,0.2239,3.3369
22.002,2.2452,0.3459,0.221,0.0958,0.2241,2.5213
22.1291,4.169,0.3669,0.2131,0.0942,0.2058,2.9118
21.9829,1.4791,0.3369,0.226,0.1011,0.2329,3.4368
22.701,13.2282,0.351,0.212,0.0899,0.227,3.3262
40.3259,8.9881,0.3703,0.2019,0.093,0.2251,2.7261
95.036,6.4349,0.3512,0.2131,0.092,0.2062,2.5539
32.4638,6.0921,0.3569,0.1948,0.093,0.211,1.7197
21.883,2.1241,0.3631,0.2201,0.0908,0.231,2.6319
21.6789,8.0271,0.365,0.2429,0.0927,0.2098,2.5699
22.028,5.275,0.38,0.2499,0.1097,0.2151,2.6619
22.218,11.4658,0.428,0.2558,0.0901,0.222,2.5427
21.8687,7.1418,0.3848,0.2582,0.0901,0.2203,1.5121
22.0559,4.0889,0.3824,0.2999,0.0939,0.211,2.5678
21.8081,5.244,0.3629,0.236,0.0927,0.205,4.7307
22.1319,11.724,0.366,0.2108,0.108,0.2027,2.9142
22.0861,2.0652,0.3569,0.226,0.093,0.2282,2.64
21.8964,9.9058,0.3834,0.2158,0.16,0.2251,2.5568
21.6229,0.865,0.483,0.2203,0.1559,0.2058,1.5049
21.3177,11.7371,0.478,0.212,0.1009,0.2031,1.9929
21.642,6.1479,0.4621,0.2031,0.0901,0.1941,2.969
21.925,7.678,0.4601,0.2761,0.0901,0.221,2.2359
21.4798,9.691,0.4427,0.2451,0.0901,0.227,4.1139
21.713,8.7318,0.4592,0.227,0.0889,0.212,3.0909
21.667,7.144,0.417,0.2439,0.0949,0.2062,2.661
21.6272,2.017,0.3729,0.2511,0.0932,0.2079,1.332
21.7681,5.7659,0.3979,0.3128,0.0939,0.1931,2.8739
21.5039,2.2278,0.381,0.2711,0.093,0.2031,3.8211
21.3408,7.9541,0.3781,0.2232,0.093,0.2058,3.1278
21.656,2.4078,0.371,0.2477,0.093,0.222,3.52
21.6508,7.9503,0.3579,0.2372,0.0923,0.2041,1.3349
21.8189,0.4609,0.3622,0.253,0.0923,0.21,3.8779
21.522,8.441,0.361,0.273,0.093,0.226,2.4903
21.471,8.4019,0.4101,0.2587,0.093,0.212,2.5098
21.445,9.9971,0.4239,0.205,0.0939,0.1981,3.5961
21.281,2.3789,0.4191,0.2379,0.0899,0.2198,2.6369
21.3091,4.5798,0.422,0.2818,0.0939,0.212,2.645
21.6911,11.1852,0.4179,0.2661,0.0932,0.2079,2.1508
21.5487,9.8522,0.396,0.2239,0.0932,0.2041,2.918
21.183,2.1069,0.4122,0.2611,0.0913,0.2108,2.6379
21.2262,8.2159,0.3998,0.2601,0.0901,0.1972,2.5411
