heap,bptree,hash,sequential,isam,brin,rtree_point_to_point,rtree_knn,rtree_radio
5.4224,0.767,39.3121,20.1097,0.998,0.9999,4.0004,5.0008,3.9999
6.0036,2.0003,38.1849,13.9995,0.9997,1.0014,4.0066,4.7801,4.0932
6.7496,0.7682,39.2618,16.7191,0.9997,0.0,1.9996,5.9967,3.9988
5.0862,1.5314,36.9983,11.9987,1.1764,1.0962,3.159,4.8425,5.09
5.8568,0.9997,37.2019,10.9985,1.0002,0.9997,3.0012,4.9987,4.9846
4.5519,0.9973,38.2893,10.999,0.9999,0.999,2.9993,5.0001,4.9994
4.9992,1.554,37.1678,5.878,0.9997,0.2265,2.9931,4.9987,4.0925
6.0008,1.5204,37.2641,18.9993,0.9983,0.9997,3.0003,5.0006,3.9995
6.0,1.9941,36.2918,2.9988,1.0011,0.3059,2.6944,5.0001,3.6008
4.9996,2.0046,34.0815,16.8493,0.8535,0.9978,2.9981,4.9996,5.0001
5.0001,2.0661,34.0834,4.9982,0.0,0.0,1.9999,4.9994,4.0801
5.4574,1.0028,32.7635,9.0001,1.0006,0.0,1.9999,4.9989,3.9995
5.141,1.1034,31.9989,18.0054,1.0347,0.9005,3.0,4.9994,4.0023
5.0023,1.9982,32.0349,8.9998,0.7012,0.3572,2.9995,5.0004,3.9985
5.0001,0.0,31.9631,20.9963,0.9997,1.0056,1.9999,5.0001,4.0913
5.9981,1.9984,35.0189,1.9999,0.9997,0.3343,2.003,3.9999,3.999
5.0013,1.0517,33.0729,17.0,1.1439,0.9978,2.9998,4.9989,4.0767
5.0004,0.9997,32.3448,17.9999,1.0817,0.5572,2.5449,3.9995,4.9996
4.9996,1.9999,33.3326,3.9999,0.9987,1.0362,2.9988,5.0011,4.0812
4.9994,1.0002,33.2804,8.0001,1.0982,0.4718,1.9991,4.8943,3.9995
5.6961,1.0092,32.1491,13.0002,0.9992,1.0009,2.9988,5.0001,4.0786
6.9995,1.0612,34.3029,19.0024,0.9992,0.0,3.3038,4.113,4.9999
4.9989,0.9062,34.3888,7.0002,0.999,1.0035,2.9993,4.5807,3.5703
7.0007,1.0154,34.2226,10.9973,1.1072,0.5677,2.9991,4.9984,3.9997
5.0008,0.9954,35.6677,15.9698,0.9992,1.1849,2.9998,6.0856,4.9984
6.0003,0.9992,34.41,3.9999,0.9995,0.6692,2.0001,7.0865,3.9985
5.0008,1.0006,34.2185,10.2742,1.0862,1.1458,2.9993,5.08,5.0006
5.0948,0.999,35.2979,20.992,0.9997,0.6304,2.0003,4.0917,4.1201
6.0,1.9956,35.074,2.9998,1.1554,1.1072,2.9995,5.0001,3.9997
4.9999,0.9999,34.2362,15.9986,0.5767,0.5651,1.9984,5.0092,4.0007
5.0116,2.0406,35.1622,3.8717,0.5732,1.0443,3.0005,5.0797,3.9992
6.0904,0.9992,33.0181,10.9985,1.0595,0.3695,2.9049,3.9997,3.6147
3.9995,1.0931,35.0072,18.9993,1.1308,1.0002,1.9996,4.9014,4.0371
5.0006,1.9064,34.142,6.999,1.1647,0.0,2.0006,4.0004,3.9999
4.3883,0.2675,34.3525,21.1229,0.5891,1.1778,2.9991,6.0821,3.9976
5.6489,0.8488,34.1508,1.9951,0.9987,0.6657,2.09,4.9987,3.9992
4.9996,1.0002,36.5844,14.9977,0.9997,1.1446,3.0007,4.0097,3.9976
5.9993,1.0002,36.0,15.5799,0.2317,0.6282,2.9998,4.9996,3.9632
5.2097,1.0006,35.0726,7.9997,0.9995,1.1063,1.9994,4.9992,3.9492
4.854,1.477,36.0796,5.0001,1.0011,0.561,2.0003,4.9996,3.9995
5.0011,1.5743,39.001,12.0957,1.224,1.0321,2.9991,4.0002,3.9966
8.5378,0.9987,49.1328,8.9977,1.0002,0.3819,1.9994,5.0836,4.1933
8.2548,1.0004,49.2291,3.0017,1.0002,1.0121,3.0003,4.9996,3.999
5.7979,1.0004,48.9993,19.9995,0.2344,0.9978,1.9991,7.0105,4.585
6.0208,1.9996,46.0,7.0002,1.0083,0.9985,3.0007,5.0924,4.5202
4.998,1.0087,47.0002,4.9994,1.0018,0.9987,3.0,5.1494,4.0007
5.5914,0.2105,46.9999,17.9987,0.9999,1.0974,2.9991,4.9996,3.9992
5.1489,1.4853,45.0001,6.0396,0.9997,0.9995,2.9998,5.1606,3.5725
5.089,1.1241,46.0002,14.0002,0.9999,0.9997,1.9994,5.9996,3.9995
5.0876,1.0002,45.0001,3.9995,1.1153,0.9999,2.9993,4.081,3.9871
