heap,bptree,hash,sequential,isam,brin,rtree
4,12,15,96,10,10,12
4,12,15,66,10,10,12
4,12,15,84,10,10,12
4,12,135,58,10,10,12
4,12,16,57,10,10,12
4,12,145,52,10,10,12
4,12,2768,35,10,10,12
4,12,2069,99,10,10,21
4,12,38,23,10,10,13
4,12,38,12,10,10,13
4,12,38,33,10,10,13
4,12,38,47,10,10,13
4,12,38,96,10,10,13
4,12,38,51,10,10,13
4,12,38,117,10,10,13
4,12,38,18,10,10,13
4,12,39,102,10,10,13
4,12,38,104,10,10,13
4,12,38,28,10,10,13
4,12,38,51,10,10,13
4,12,38,81,10,10,13
4,12,38,121,10,10,13
4,12,38,45,10,10,13
4,12,38,66,10,10,13
4,12,38,98,10,10,13
4,12,39,32,10,10,23
4,12,38,65,10,10,14
4,12,38,136,10,10,14
4,12,38,24,10,10,14
4,12,38,106,10,10,14
4,12,38,28,11,10,14
4,12,38,78,10,10,14
4,12,38,127,10,10,14
4,12,38,51,10,10,14
4,12,39,139,10,10,14
4,12,38,20,10,10,14
4,12,38,102,10,10,14
4,12,38,101,10,10,14
4,12,38,63,10,10,14
4,12,38,37,10,10,14
4,12,38,85,10,10,14
4,12,38,63,10,10,14
4,12,38,23,10,10,14
4,12,39,150,10,10,14
4,12,38,53,11,10,14
4,12,38,43,10,10,14
4,12,38,133,10,10,25
4,12,38,51,10,10,15
4,12,38,106,10,10,15
4,12,38,34,10,10,15
