heap,bptree,hash,sequential,isam,brin,rtree
2,4,2,6,3,5,3
2,4,2,6,3,7,3
2,4,2,6,3,5,3
2,4,9,6,3,5,3
2,4,2,6,3,5,3
2,4,9,6,3,5,3
2,4,100,6,3,5,3
2,4,52,6,3,5,10
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,3,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,7,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,3,6,3,5,10
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,5,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,3,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,7,3
2,4,2,6,3,5,3
2,4,3,6,3,5,3
2,4,2,6,5,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,10
2,4,2,6,3,5,3
2,4,2,6,3,5,3
2,4,2,6,3,5,3
