heap,bptree,hash,sequential,isam,brin,rtree
451,8,21,135,10,17,11
451,10,21,92,10,16,12
451,9,21,115,9,17,11
451,11,21,81,9,16,12
451,11,21,79,10,16,11
451,11,19,71,10,16,12
451,13,21,44,10,16,12
451,8,21,130,9,17,11
451,14,21,24,10,16,11
451,14,21,116,9,16,11
451,13,21,38,9,16,11
451,12,21,57,9,16,11
451,8,21,120,9,17,11
451,12,21,62,10,16,11
451,7,21,145,9,17,11
451,14,21,14,9,16,11
451,8,21,124,9,17,11
451,8,21,126,10,17,12
451,14,21,28,9,16,11
451,12,21,59,10,16,11
451,10,21,95,10,16,11
451,7,21,142,10,17,12
451,12,21,50,10,16,12
451,11,21,76,10,16,12
451,9,21,113,10,17,11
451,13,21,33,9,16,11
451,11,21,73,9,16,12
451,7,21,154,10,17,11
451,14,21,22,10,16,12
451,9,21,118,10,17,11
451,14,21,26,9,16,12
451,11,21,84,10,16,11
451,7,21,138,10,17,11
451,12,21,54,11,16,11
451,7,21,149,10,17,11
451,14,21,16,10,16,12
451,9,21,109,10,17,11
451,9,21,107,9,17,11
451,12,21,66,10,16,11
451,13,21,35,10,16,11
451,10,21,87,10,16,11
451,12,21,64,9,16,11
451,14,21,19,11,16,12
451,7,21,152,9,17,11
451,12,21,52,8,16,12
451,13,19,40,10,16,12
451,8,16,132,10,17,11
451,12,21,48,11,16,11
451,9,21,103,9,17,11
451,13,21,30,10,16,11
